key	text	tooltip
#Loc;1;text/db/sm0_recruit_defeated_ll_mixu.loc		
event_feed_strings_text_title_event_brt_chilfroy_LL_unlocked	Chilfroy de Artois	true
event_feed_strings_text_title_event_brt_bohemond_LL_unlocked	Bohemond Beastslayer	true
event_feed_strings_text_title_event_brt_adalhard_LL_unlocked	Adalhard de Lyonesse	true
event_feed_strings_text_title_event_brt_cassyon_LL_unlocked	Cassyon de Parravon	true
event_feed_strings_text_title_event_dwf_kazador_dragonslayer_LL_unlocked	Kazador Dragonslayer	true
event_feed_strings_text_title_event_emp_elspeth_LL_unlocked	Elspeth von Draken	true
event_feed_strings_text_title_event_wef_daith_LL_unlocked	Daith	true
event_feed_strings_text_title_event_emp_marius_leitdorf_LL_unlocked	Marius Leitdorf	true
event_feed_strings_text_title_event_emp_aldebrand_ludenhof_LL_unlocked	Aldebrand Ludenhof	true
event_feed_strings_text_title_event_emp_edvard_van_der_kraal_LL_unlocked	Edward van der Kraal	true
event_feed_strings_text_title_event_emp_theoderic_gausser_LL_unlocked	Theoderic Gausser	true
event_feed_strings_text_title_event_emp_wolfram_hertwig_LL_unlocked	Wolfram Hertwig	true
event_feed_strings_text_title_event_emp_valmir_von_raukov_LL_unlocked	Valmir von Raukov	true
event_feed_strings_text_title_event_emp_alberich_haupt_anderssen_LL_unlocked	Alberich Haupt-Anderssen	true
event_feed_strings_text_title_event_emp_helmut_feuerbach_LL_unlocked	Helmut Feuerbach	true
event_feed_strings_text_description_event_brt_chilfroy_LL_unlocked	With Artois being defeated, Legendary Duke Chilfroy de Artois, the huge, grim Bretonnian man has offered his services to the other Bretonnian factions in a bid to retake his lands.	true
event_feed_strings_text_description_event_brt_bohemond_LL_unlocked	With Bastonne being defeated, Legendary Duke and Grail Knight Bohemond Beastslayer has offered his services to the other Bretonnian factions.	true
event_feed_strings_text_description_event_brt_adalhard_LL_unlocked	With Lyonesse being defeated, Legendary Duke Adalhard de Lyonesse has become available for the other Bretonnian factions.	true
event_feed_strings_text_description_event_brt_cassyon_LL_unlocked	With Parravon being defeated, Legendary DukeCassyon de Parravon, youngest of all Dukes of Bretonnia has offered his service to the other Bretonnian factions. Only time will show if the young lord can prove himself further.	true
event_feed_strings_text_description_event_dwf_kazador_dragonslayer_LL_unlocked	With Karak Azul being defeated, Legendary King Kazador Dragonslayer has joined his fellow Dwarfs in a bid to retake his lands another day.	true
event_feed_strings_text_description_event_emp_elspeth_LL_unlocked	With the defeat of Wissenland, Legendary Elspeth von Draken, the Dark Lady of Nuln, Magisterix of the Amethyst Order and arch-wizard of the Lore of Death has joined other factions of Men. What her true plans are, none know..	true
event_feed_strings_text_description_event_wef_daith_LL_unlocked	With Torgovann being defeated, Legendary Lord Daith, most celebrated of all the Elven smiths is offering his services to his kin.	true
event_feed_strings_text_description_event_emp_marius_leitdorf_LL_unlocked	With Averland being defeated, Legendary Marius Leitdorf, known most infamously as the Mad Count of Averland will be joining his fellow Men. What the future of the men under his is, is uncertain.	true
event_feed_strings_text_description_event_emp_aldebrand_ludenhof_LL_unlocked	With Hochland being defeated, Legendary Aldebrand Ludenhof, known by his full title, Elector Count Aldebrand Ludenhof, Grand Baron of Hochland, Marshal of the Talabec Reach, Defender of the Shrines, Baron of Hergig has joined the rest of Man in order to defeat the forces of evil and regain his home one day.	true
event_feed_strings_text_description_event_emp_edvard_van_der_kraal_LL_unlocked	With Marienburg being defeated, Legendary Captain Edward Van Der Kraal, the former Pirate, mercenary, smuggler, gallows thief and renowned blackguard has decided to join us. Should we trust this man's thorough service, or pass it on?	true
event_feed_strings_text_description_event_emp_theoderic_gausser_LL_unlocked	With Nordland being defeated, Legendary Theoderic Gausser or known more formally as Elector Count Theoderic Gausser, Grand Baron of Nordland, Prince of Salzenmund, Lord of Laurelorn, Duke of Marienburg, and Terror of the Norscans is available to our cause-- surely his insight will help us fight the northern threats!	true
event_feed_strings_text_description_event_emp_wolfram_hertwig_LL_unlocked	With Ostermark being defeated, Legendary Elector Count Wolfram Hertwig has joined his services to us. Keep in mind the tale of 'Hertwig's Folly', for we surely can't afford such!	true
